,topic,doc_index,probability,article_number,correct
86,IRRELEVANT,23,0.9969775939300445,9524,True
91,IRRELEVANT,34,0.9968600072405831,9535,True
106,IRRELEVANT,57,0.9967673423922804,9558,True
314,IRRELEVANT,431,0.996409168059918,9932,True
150,IRRELEVANT,141,0.9963774983407956,9642,True
183,IRRELEVANT,199,0.9963516911861658,9700,True
229,IRRELEVANT,284,0.9962868330976952,9785,True
173,IRRELEVANT,185,0.9960777161115165,9686,True
146,IRRELEVANT,135,0.995505584291025,9636,True
136,IRRELEVANT,118,0.9950531716590657,9619,True
174,IRRELEVANT,186,0.9950500990105552,9687,True
261,IRRELEVANT,345,0.9946296787472896,9846,True
297,IRRELEVANT,406,0.9943258677218388,9907,True
135,IRRELEVANT,114,0.9939706657377073,9615,True
97,IRRELEVANT,43,0.9939117770933381,9544,True
158,IRRELEVANT,151,0.9938688529666738,9652,True
309,IRRELEVANT,424,0.9928405306045526,9925,True
237,IRRELEVANT,298,0.9926666447166262,9799,True
162,IRRELEVANT,159,0.992665238856602,9660,True
211,IRRELEVANT,246,0.9924544053180635,9747,True
110,IRRELEVANT,62,0.9921283138430195,9563,True
124,IRRELEVANT,94,0.9919334574939612,9595,True
151,IRRELEVANT,142,0.9918650078727254,9643,True
233,IRRELEVANT,292,0.9917554373037585,9793,True
278,IRRELEVANT,379,0.9912527020423219,9880,True
311,IRRELEVANT,427,0.9912442065831125,9928,True
324,IRRELEVANT,449,0.9911522493088093,9950,True
101,IRRELEVANT,48,0.990656547791535,9549,True
317,IRRELEVANT,435,0.9906078145024585,9936,True
267,IRRELEVANT,360,0.9904559309095683,9861,True
81,IRRELEVANT,16,0.9898180739137514,9517,True
180,IRRELEVANT,196,0.9898046543155348,9697,True
87,IRRELEVANT,26,0.9895454594521486,9527,True
318,IRRELEVANT,440,0.989274289863252,9941,True
184,IRRELEVANT,204,0.9892692285980436,9705,True
289,IRRELEVANT,394,0.988812929658074,9895,True
273,IRRELEVANT,371,0.9886275986492911,9872,True
125,IRRELEVANT,97,0.9885027049808319,9598,True
168,IRRELEVANT,173,0.9882756824289719,9674,True
75,IRRELEVANT,4,0.9879807684914219,9505,True
144,IRRELEVANT,132,0.9878877978880507,9633,True
141,IRRELEVANT,127,0.987862832028745,9628,True
259,IRRELEVANT,342,0.9878155187209392,9843,True
301,IRRELEVANT,411,0.987756490341521,9912,True
176,IRRELEVANT,188,0.986960023767342,9689,True
272,IRRELEVANT,369,0.9868585326144396,9870,True
93,IRRELEVANT,37,0.9866508732308785,9538,True
147,IRRELEVANT,136,0.9862699680029124,9637,True
266,IRRELEVANT,358,0.9858012026135409,9859,True
234,IRRELEVANT,293,0.9856376503202562,9794,True
197,IRRELEVANT,225,0.985543190638957,9726,True
252,IRRELEVANT,326,0.9853728623894573,9827,True
295,IRRELEVANT,404,0.984952112745982,9905,True
274,IRRELEVANT,373,0.9849104708831113,9874,True
341,IRRELEVANT,475,0.9847788754021255,9976,True
231,IRRELEVANT,289,0.9847167744139632,9790,True
207,IRRELEVANT,241,0.9843762877662917,9742,True
296,IRRELEVANT,405,0.9841822638740425,9906,True
256,IRRELEVANT,337,0.984017868597821,9838,True
306,IRRELEVANT,417,0.9831025314317232,9918,True
102,IRRELEVANT,51,0.9830273618315198,9552,True
269,IRRELEVANT,364,0.9828455389549124,9865,True
178,IRRELEVANT,191,0.9826290029399676,9692,True
122,IRRELEVANT,91,0.9823264461863511,9592,True
334,IRRELEVANT,465,0.9821222399211524,9966,True
123,IRRELEVANT,92,0.9818077902368061,9593,True
323,IRRELEVANT,448,0.9817255950806201,9949,True
249,IRRELEVANT,318,0.9814508976031088,9819,True
171,IRRELEVANT,180,0.9803848226857391,9681,True
262,IRRELEVANT,346,0.9798136235989751,9847,True
320,IRRELEVANT,444,0.979022890205052,9945,True
257,IRRELEVANT,338,0.9788412223958547,9839,True
299,IRRELEVANT,408,0.978835908087217,9909,True
254,IRRELEVANT,330,0.9788029458274765,9831,True
99,IRRELEVANT,45,0.9786402841452946,9546,True
209,IRRELEVANT,244,0.9784669067744113,9745,True
190,IRRELEVANT,213,0.9784175432035361,9714,True
104,IRRELEVANT,55,0.9779345041085041,9556,True
284,IRRELEVANT,387,0.9777490945052558,9888,True
322,IRRELEVANT,447,0.9776182040903943,9948,True
85,IRRELEVANT,22,0.9768078153722899,9523,True
128,IRRELEVANT,102,0.9767709962177505,9603,True
92,IRRELEVANT,36,0.9766340470307516,9537,True
263,IRRELEVANT,349,0.9748750349611228,9850,True
161,IRRELEVANT,157,0.9748061667662207,9658,True
260,IRRELEVANT,343,0.9747774114023263,9844,True
238,IRRELEVANT,301,0.9742911819980278,9802,True
118,IRRELEVANT,84,0.9732508383864253,9585,True
339,IRRELEVANT,472,0.9732265126802893,9973,True
265,IRRELEVANT,355,0.9729955193346552,9856,True
307,IRRELEVANT,420,0.97220407036706,9921,True
80,IRRELEVANT,14,0.9712140080589532,9515,True
210,IRRELEVANT,245,0.9709286594451204,9746,True
226,IRRELEVANT,280,0.9703803288718873,9781,True
258,IRRELEVANT,340,0.9701446057752677,9841,True
213,IRRELEVANT,255,0.9698573274402713,9756,True
121,IRRELEVANT,90,0.9696464043222545,9591,True
240,IRRELEVANT,303,0.9695308724711108,9804,True
143,IRRELEVANT,130,0.9694030768696132,9631,True
94,IRRELEVANT,39,0.9686608179639756,9540,True
325,IRRELEVANT,450,0.9685420356656768,9951,True
129,IRRELEVANT,104,0.9684082228143596,9605,True
131,IRRELEVANT,110,0.9682291110873454,9611,True
337,IRRELEVANT,469,0.9661905174600137,9970,True
290,IRRELEVANT,396,0.9631564058739687,9897,True
120,IRRELEVANT,89,0.9627560256079493,9590,True
286,IRRELEVANT,390,0.9621439716350042,9891,True
316,IRRELEVANT,434,0.9620834633720303,9935,True
349,IRRELEVANT,499,0.9608120582106364,10000,True
245,IRRELEVANT,313,0.9608007816132542,9814,True
212,IRRELEVANT,249,0.9607318377456049,9750,True
142,IRRELEVANT,128,0.9595891590372534,9629,True
200,IRRELEVANT,229,0.958443495902825,9730,True
163,IRRELEVANT,163,0.9581372887900288,9664,True
181,IRRELEVANT,197,0.9575300448953684,9698,True
78,IRRELEVANT,10,0.9573645458827348,9511,True
83,IRRELEVANT,20,0.9568008389781559,9521,True
145,IRRELEVANT,134,0.9563078440412899,9635,True
342,IRRELEVANT,479,0.9552418038157475,9980,True
328,IRRELEVANT,454,0.9552406688500055,9955,True
270,IRRELEVANT,366,0.9543352291034334,9867,True
305,IRRELEVANT,416,0.9536951298648061,9917,True
335,IRRELEVANT,467,0.9536360533421618,9968,True
285,IRRELEVANT,389,0.9535104705180131,9890,True
338,IRRELEVANT,470,0.9531182513017105,9971,True
115,IRRELEVANT,77,0.9511556449049823,9578,True
137,IRRELEVANT,121,0.9498916040495907,9622,True
172,IRRELEVANT,183,0.9491564753343057,9684,True
152,IRRELEVANT,143,0.9474230874607649,9644,True
108,IRRELEVANT,60,0.9473315676555393,9561,True
216,IRRELEVANT,261,0.9467601215927328,9762,True
332,IRRELEVANT,459,0.9465877193326688,9960,True
138,IRRELEVANT,122,0.944620803003291,9623,True
310,IRRELEVANT,426,0.9434704325809652,9927,True
88,IRRELEVANT,27,0.9428118189632202,9528,True
232,IRRELEVANT,291,0.9425819564166008,9792,True
244,IRRELEVANT,311,0.9422196515141987,9812,True
346,IRRELEVANT,492,0.9422177114710003,9993,True
154,IRRELEVANT,145,0.9410018701048982,9646,False
98,IRRELEVANT,44,0.9408258479146128,9545,True
333,IRRELEVANT,461,0.94044831801722,9962,True
76,IRRELEVANT,6,0.9393491309278504,9507,True
148,IRRELEVANT,138,0.9393462773455951,9639,True
308,IRRELEVANT,422,0.9376235744332962,9923,True
275,IRRELEVANT,375,0.93738480311079,9876,True
117,IRRELEVANT,80,0.9356859395005136,9581,False
291,IRRELEVANT,398,0.9346091349675514,9899,True
217,IRRELEVANT,263,0.9338030506792028,9764,True
169,IRRELEVANT,174,0.9325804623408623,9675,True
202,IRRELEVANT,231,0.9323148209677008,9732,True
321,IRRELEVANT,445,0.9315760511805301,9946,True
155,IRRELEVANT,147,0.9315555118900599,9648,True
277,IRRELEVANT,378,0.9310063298370974,9879,True
221,IRRELEVANT,274,0.9302678780081814,9775,True
199,IRRELEVANT,227,0.9296536816303731,9728,True
192,IRRELEVANT,216,0.9283541814582025,9717,True
280,IRRELEVANT,381,0.9282545189298923,9882,True
298,IRRELEVANT,407,0.9282203532003429,9908,True
304,IRRELEVANT,414,0.9265835711266001,9915,True
82,IRRELEVANT,18,0.9248308176143318,9519,True
292,IRRELEVANT,399,0.9236576533955544,9900,True
253,IRRELEVANT,328,0.9231349326566128,9829,True
73,IRRELEVANT,1,0.9231054780847884,9502,True
230,IRRELEVANT,287,0.922120391526878,9788,True
293,IRRELEVANT,402,0.9218161500980228,9903,True
282,IRRELEVANT,384,0.9196335418120876,9885,True
194,IRRELEVANT,220,0.9170256997030168,9721,False
224,IRRELEVANT,278,0.9155428554182793,9779,True
347,IRRELEVANT,495,0.9127856188750342,9996,True
235,IRRELEVANT,294,0.912007205472293,9795,True
198,IRRELEVANT,226,0.9119072129574908,9727,True
133,IRRELEVANT,112,0.9084974728142898,9613,True
326,IRRELEVANT,452,0.908017905582241,9953,True
89,IRRELEVANT,31,0.9072747527694931,9532,True
187,IRRELEVANT,209,0.9065140739830748,9710,True
315,IRRELEVANT,433,0.9059260080883017,9934,True
196,IRRELEVANT,223,0.9043818707180236,9724,True
225,IRRELEVANT,279,0.9039995393627785,9780,True
271,IRRELEVANT,367,0.9019238500899124,9868,True
134,IRRELEVANT,113,0.9013565858880466,9614,True
251,IRRELEVANT,324,0.9007037942173243,9825,True
227,IRRELEVANT,282,0.8980467362936944,9783,False
166,IRRELEVANT,168,0.8975343580600345,9669,False
164,IRRELEVANT,166,0.8937802096875483,9667,False
223,IRRELEVANT,277,0.8929015093193355,9778,True
72,IRRELEVANT,0,0.890990522307492,9501,True
182,IRRELEVANT,198,0.890190817051135,9699,True
219,IRRELEVANT,267,0.8840002557589357,9768,False
74,IRRELEVANT,3,0.8830242620052019,9504,True
222,IRRELEVANT,276,0.8819659074756576,9777,True
159,IRRELEVANT,153,0.8794629725963444,9654,False
156,IRRELEVANT,148,0.8789156956851912,9649,True
186,IRRELEVANT,208,0.8788212817448028,9709,True
220,IRRELEVANT,270,0.8767751775563186,9771,True
105,IRRELEVANT,56,0.8754104608203342,9557,True
336,IRRELEVANT,468,0.8750167965755615,9969,True
113,IRRELEVANT,66,0.8724098496515597,9567,True
79,IRRELEVANT,11,0.8716474211407099,9512,True
160,IRRELEVANT,154,0.867811462303508,9655,True
167,IRRELEVANT,172,0.8651428466453516,9673,True
140,IRRELEVANT,125,0.8610278282659116,9626,True
246,IRRELEVANT,314,0.8585258124094363,9815,True
218,IRRELEVANT,266,0.8538055957145327,9767,True
77,IRRELEVANT,9,0.8448951695829938,9510,True
241,IRRELEVANT,304,0.8434114572831624,9805,True
188,IRRELEVANT,211,0.8422718971786757,9712,True
343,IRRELEVANT,482,0.8421121318677743,9983,False
109,IRRELEVANT,61,0.840229870643582,9562,False
170,IRRELEVANT,178,0.8400242586274189,9679,False
294,IRRELEVANT,403,0.8336091991683078,9904,True
248,IRRELEVANT,317,0.8326380408566181,9818,False
327,IRRELEVANT,453,0.8309477079296606,9954,True
112,IRRELEVANT,65,0.8224162432579933,9566,True
116,IRRELEVANT,78,0.8218072368671747,9579,True
239,IRRELEVANT,302,0.8179105746074632,9803,True
175,IRRELEVANT,187,0.8075170286982734,9688,True
195,IRRELEVANT,221,0.8056780017680313,9722,False
228,IRRELEVANT,283,0.8036446276536103,9784,True
149,IRRELEVANT,139,0.8030988126473443,9640,True
348,IRRELEVANT,498,0.7963422976762565,9999,False
279,IRRELEVANT,380,0.7936689398130125,9881,True
287,IRRELEVANT,391,0.7876502909527239,9892,False
268,IRRELEVANT,363,0.7786821490265048,9864,True
206,IRRELEVANT,240,0.7719071853839568,9741,True
345,IRRELEVANT,490,0.7681262765925625,9991,True
340,IRRELEVANT,473,0.7576549462364809,9974,True
250,IRRELEVANT,320,0.7524222934793989,9821,False
255,IRRELEVANT,333,0.744187333852011,9834,False
205,IRRELEVANT,238,0.7422475454511346,9739,False
84,IRRELEVANT,21,0.7388924612194879,9522,True
201,IRRELEVANT,230,0.7378039487819489,9731,True
208,IRRELEVANT,243,0.7231005524667818,9744,True
114,IRRELEVANT,74,0.7224834912089303,9575,True
189,IRRELEVANT,212,0.7186743118337243,9713,False
300,IRRELEVANT,409,0.7165650410058387,9910,True
90,IRRELEVANT,32,0.7121073770232551,9533,True
264,IRRELEVANT,350,0.693162845539152,9851,False
313,IRRELEVANT,429,0.6744480610786067,9930,True
329,IRRELEVANT,455,0.6656516451908319,9956,False
103,IRRELEVANT,52,0.6529648443990849,9553,False
153,IRRELEVANT,144,0.6021643965239923,9645,False
127,IRRELEVANT,99,0.600877410128801,9600,True
236,IRRELEVANT,296,0.6004030344076484,9797,True
100,IRRELEVANT,46,0.5992420245847772,9547,True
214,IRRELEVANT,257,0.5911481375924711,9758,False
319,IRRELEVANT,442,0.586596864084825,9943,False
119,IRRELEVANT,88,0.5815384788083057,9589,False
283,IRRELEVANT,386,0.5517451847680704,9887,False
215,IRRELEVANT,258,0.5457653039860527,9759,True
243,IRRELEVANT,306,0.5405749277478357,9807,False
126,IRRELEVANT,98,0.5397060576399778,9599,False
185,IRRELEVANT,205,0.5387919118806698,9706,False
111,IRRELEVANT,63,0.5309173047038318,9564,True
107,IRRELEVANT,59,0.5132638373374201,9560,False
344,IRRELEVANT,488,0.5016729399203017,9989,True
95,IRRELEVANT,41,0.47296752168390843,9542,False
130,IRRELEVANT,105,0.4727548227273898,9606,False
204,IRRELEVANT,234,0.46971117272560103,9735,False
276,IRRELEVANT,377,0.46224620229990554,9878,False
203,IRRELEVANT,233,0.428631745845877,9734,False
247,IRRELEVANT,315,0.4237533051529991,9816,False
242,IRRELEVANT,305,0.41172801827180666,9806,True
312,IRRELEVANT,428,0.3958934696748742,9929,False
179,IRRELEVANT,195,0.39276778911686283,9696,True
132,IRRELEVANT,111,0.3823371992643257,9612,False
165,IRRELEVANT,167,0.3627545262227129,9668,False
288,IRRELEVANT,392,0.35497271456329776,9893,False
412,MONEY MARKETS,370,0.9905475034392489,9871,False
367,MONEY MARKETS,117,0.9895552676118661,9618,True
391,MONEY MARKETS,260,0.9797538069262133,9761,True
394,MONEY MARKETS,268,0.9702082817880843,9769,True
390,MONEY MARKETS,254,0.9694243216790681,9755,True
415,MONEY MARKETS,397,0.9692360028443882,9898,True
402,MONEY MARKETS,334,0.963724503191961,9835,True
392,MONEY MARKETS,264,0.9624467485167423,9765,True
352,MONEY MARKETS,15,0.9573925901142142,9516,True
381,MONEY MARKETS,206,0.9529295881649468,9707,False
374,MONEY MARKETS,171,0.9395012537935445,9672,False
420,MONEY MARKETS,438,0.9345377730236515,9939,True
410,MONEY MARKETS,362,0.9319568933972648,9863,True
429,MONEY MARKETS,489,0.9269186105797634,9990,True
430,MONEY MARKETS,494,0.918329753556008,9995,True
431,MONEY MARKETS,497,0.9095322151721976,9998,True
384,MONEY MARKETS,222,0.8989706514545435,9723,True
366,MONEY MARKETS,101,0.8946899356911414,9602,False
404,MONEY MARKETS,339,0.8836542090749966,9840,True
428,MONEY MARKETS,484,0.876211749045457,9985,False
393,MONEY MARKETS,265,0.8729425011165659,9766,True
398,MONEY MARKETS,321,0.8686769347225631,9822,False
417,MONEY MARKETS,415,0.8547061021121394,9916,True
370,MONEY MARKETS,137,0.8502321559506388,9638,True
405,MONEY MARKETS,344,0.848448625907972,9845,True
407,MONEY MARKETS,352,0.8356758690490427,9853,False
363,MONEY MARKETS,85,0.8314955391223655,9586,True
397,MONEY MARKETS,319,0.8221912851543448,9820,True
372,MONEY MARKETS,149,0.8178226904633558,9650,False
362,MONEY MARKETS,82,0.8071241259836565,9583,False
364,MONEY MARKETS,86,0.7959630557957541,9587,True
395,MONEY MARKETS,275,0.770947984711085,9776,True
396,MONEY MARKETS,307,0.7584502324930805,9808,True
354,MONEY MARKETS,30,0.7564616173034723,9531,True
360,MONEY MARKETS,70,0.7520117250187576,9571,False
365,MONEY MARKETS,93,0.7513726476501889,9594,True
399,MONEY MARKETS,322,0.7352244379214278,9823,True
356,MONEY MARKETS,38,0.7265281778647105,9539,False
425,MONEY MARKETS,466,0.7206031316497602,9967,True
401,MONEY MARKETS,327,0.6923763581320468,9828,True
379,MONEY MARKETS,190,0.6914142301028792,9691,True
421,MONEY MARKETS,458,0.6786222101120156,9959,False
355,MONEY MARKETS,33,0.6726561925797727,9534,True
382,MONEY MARKETS,207,0.6640121723847278,9708,False
423,MONEY MARKETS,462,0.6620686240214944,9963,True
375,MONEY MARKETS,176,0.6600573056268031,9677,True
400,MONEY MARKETS,323,0.6586850355489937,9824,True
408,MONEY MARKETS,354,0.6554615286476803,9855,False
353,MONEY MARKETS,24,0.6481623800108532,9525,False
358,MONEY MARKETS,53,0.6460608022196964,9554,False
371,MONEY MARKETS,146,0.6427002847585522,9647,False
406,MONEY MARKETS,351,0.6299120337207312,9852,False
369,MONEY MARKETS,133,0.6279421794089326,9634,False
422,MONEY MARKETS,460,0.6241553288282602,9961,False
377,MONEY MARKETS,182,0.6185185778007255,9683,False
416,MONEY MARKETS,401,0.6157326927426133,9902,False
424,MONEY MARKETS,464,0.6084981794793789,9965,False
427,MONEY MARKETS,483,0.6078692104624701,9984,True
376,MONEY MARKETS,177,0.6072465086074517,9678,False
403,MONEY MARKETS,336,0.6072465086074517,9837,False
389,MONEY MARKETS,250,0.605700145997361,9751,False
388,MONEY MARKETS,248,0.6048613451332805,9749,False
414,MONEY MARKETS,388,0.6032080829719965,9889,False
411,MONEY MARKETS,365,0.5962523853964922,9866,False
357,MONEY MARKETS,49,0.5951726361921321,9550,True
373,MONEY MARKETS,158,0.5933962801210183,9659,False
387,MONEY MARKETS,239,0.5705150990333887,9740,True
383,MONEY MARKETS,219,0.5700681519628459,9720,True
409,MONEY MARKETS,359,0.5682571464856924,9860,True
359,MONEY MARKETS,54,0.5672830041750412,9555,True
350,MONEY MARKETS,2,0.5566092500777089,9503,False
386,MONEY MARKETS,236,0.5550511508939645,9737,True
368,MONEY MARKETS,126,0.5540468786194378,9627,False
385,MONEY MARKETS,232,0.5343842310049963,9733,False
419,MONEY MARKETS,437,0.533144250120194,9938,True
380,MONEY MARKETS,203,0.5283482948579467,9704,False
413,MONEY MARKETS,376,0.5219467971323004,9877,False
378,MONEY MARKETS,184,0.5104654478345207,9685,False
426,MONEY MARKETS,474,0.493505462266598,9975,False
418,MONEY MARKETS,423,0.48877648778796035,9924,True
351,MONEY MARKETS,8,0.47485023424622064,9509,False
361,MONEY MARKETS,71,0.40188242298006527,9572,True
432,SCIENCE AND TECHNOLOGY,116,0.6366646531806941,9617,False
433,SCIENCE AND TECHNOLOGY,481,0.4691725221991033,9982,False
436,SHARE LISTINGS,165,0.9796726711383055,9666,False
434,SHARE LISTINGS,17,0.9779247261464578,9518,True
435,SHARE LISTINGS,100,0.9769326046484507,9601,True
437,SHARE LISTINGS,214,0.6236989674468051,9715,False
438,SHARE LISTINGS,471,0.5994655181321144,9972,True
447,SPORTS,72,0.9998399686583458,9573,True
486,SPORTS,356,0.9997884370605924,9857,True
489,SPORTS,385,0.9991198450701293,9886,True
494,SPORTS,441,0.998630719701139,9942,True
467,SPORTS,251,0.9983930392681506,9752,True
446,SPORTS,68,0.998238292513049,9569,True
470,SPORTS,259,0.9981697528665491,9760,True
474,SPORTS,286,0.9977104553319598,9787,True
499,SPORTS,496,0.9969006513860865,9997,True
455,SPORTS,119,0.996742102253639,9620,True
484,SPORTS,347,0.9961806493559826,9848,True
472,SPORTS,273,0.9961614511011214,9774,True
445,SPORTS,67,0.9947080034406871,9568,True
473,SPORTS,281,0.9945667555382138,9782,True
492,SPORTS,421,0.9944296388400434,9922,True
458,SPORTS,155,0.9943536572414057,9656,True
460,SPORTS,161,0.9941473484491861,9662,True
471,SPORTS,262,0.993956074863387,9763,True
451,SPORTS,95,0.9926752509231,9596,True
480,SPORTS,312,0.9921562887026661,9813,True
448,SPORTS,73,0.991465417607423,9574,True
466,SPORTS,237,0.9896558104208816,9738,True
497,SPORTS,480,0.9876955098104244,9981,True
485,SPORTS,348,0.9845902316112306,9849,True
442,SPORTS,19,0.9807366822141371,9520,True
483,SPORTS,335,0.9788052597666321,9836,True
443,SPORTS,35,0.9779551638019129,9536,True
468,SPORTS,253,0.9731147268054596,9754,False
440,SPORTS,12,0.9703035008849783,9513,True
482,SPORTS,331,0.9670647976597933,9832,True
456,SPORTS,129,0.967063819495227,9630,True
487,SPORTS,357,0.9551421896734357,9858,False
495,SPORTS,463,0.9533579423249721,9964,True
461,SPORTS,162,0.9506675320275473,9663,True
464,SPORTS,200,0.948440618871196,9701,True
462,SPORTS,193,0.9484206461378022,9694,True
449,SPORTS,79,0.9441543650027087,9580,True
457,SPORTS,152,0.9411897131795052,9653,True
444,SPORTS,40,0.9386502503547616,9541,True
476,SPORTS,299,0.9356705570418893,9800,True
454,SPORTS,109,0.9348621095764607,9610,True
481,SPORTS,316,0.9263640336537202,9817,True
452,SPORTS,96,0.9201007555422658,9597,True
496,SPORTS,478,0.9168729161145017,9979,True
459,SPORTS,156,0.9067566468151448,9657,True
490,SPORTS,418,0.8797265921916516,9919,True
498,SPORTS,491,0.8785185547956594,9992,True
465,SPORTS,235,0.8732091187828215,9736,True
477,SPORTS,300,0.8580617925479451,9801,True
493,SPORTS,430,0.839065303707996,9931,True
475,SPORTS,290,0.7931165694401512,9791,True
488,SPORTS,361,0.7827597190005642,9862,True
450,SPORTS,81,0.7797823273164123,9582,True
439,SPORTS,7,0.7597725179603387,9508,True
441,SPORTS,13,0.6617894654349357,9514,False
453,SPORTS,107,0.6421040794089753,9608,True
478,SPORTS,308,0.6309650270002283,9809,True
463,SPORTS,194,0.6100665885592588,9695,True
479,SPORTS,310,0.6053917018060483,9811,True
469,SPORTS,256,0.5998674119906245,9757,True
491,SPORTS,419,0.5198185385152553,9920,True
